항목;저분자의약품;항체의약품
분자량;~ 200-500;≒ 150kDa
분자적 특성;유기화합물;단백질
물리화학적 특성;규명이 쉬움;복잡한 특성
정량적 측정 방법;잘 확립되어 있음;정량 분석 품질 낮음
흡수;세포막 투과 쉽고, 위장관 흡수 좋음;세포막 투과 어렵고, 위장관 투여 불가능
분포;혈관 외 분포가 뚜렷. 장기 분포 ∝ 조직 친화성;혈관 외 분포가 적음. 장기 분포 ∝ 혈관 투과도
대사;Phase I/II 다른 물질로 변환;Degradation . 펩타이드/아미노산으로 분해
배설;담즙 또는 소변 배설. 궁극적인 제거 경로;거의 배설되지 않음. Recycling
면역유발;흔치 않음. 과민반응 형태의 독성 작용;비교적 흔함. 항약물항체(ADA) - 약물 제거
투여경로;경구 투여 선호됨;정맥 또는 피하 투여
제형;복잡하고 다양함;단순 (용액)
반감기;대부분 1일 미만;수 일 ~ 수 주
투여 간격;1일 미만;2주 ~ 1달
분포 용적;매우 다양;혈장 / ECF 부피와 유사
제거속도론;대부분 선형약동학;비선형 / TMDD
약동학적 관심사;모약물 및 대사체;항체 및 항약물항체
항목;저분자의약품;항체의약품
약물상호작용;약동/약력학적 근거 필요;주로 약력학적 이슈
독성 평가 범위;On-target/Off-target;주로 약리학적 작용의 과다
부정맥 유발 가능성;평가 필요;평가 불필요
정량평가 방법 품질;주요 이슈 아님;매우 중요한 이슈
